"LifeAID Beverage Co.","966%","$4.3m","Food & Beverage","California","Santa Cruz-Watsonville CA",,20,
"Healthiest You","965%","$9.7m","Health","Arizona","Phoenix",,26,
"centralcloseout.com","961%","$4.4m","Business Products & Services","Florida","Miami",,14,
"Uhuru Design","959%","$9.8m","Construction","New York","New York City",,60,
"Corios","958%","$4.4m","Business Products & Services","Oregon","Portland OR",,17,
"USTRP","956%","$8.5m","Financial Services","Texas","Kerrville TX",,50,
"Tango Card","955%","$6.1m","Software","Washington","Seattle",,42,
"Turbonomic","954%","$44.6m","Software","Massachusetts","Boston",,420,
"Sauce Labs","952%","$14.2m","Software","California","San Francisco",,106,
"Favor TechConsulting","949%","$19.2m","IT Services","Virginia","Washington DC",,77,
"Koupon Media","948%","$2.2m","Retail","Texas","Dallas",,38,
"Digital Enterprise","947%","$5.1m","IT Services","Georgia","Atlanta",,45,
"Avertra","944%","$8.7m","IT Services","Virginia","Washington DC",,180,
"Fresh Meal Plan","943%","$15.4m","Food & Beverage","Florida","Miami",,155,
"Native Commerce","942%","$23.1m","Consumer Products & Services","Texas","Austin",,67,
"OrderMyGear","941%","$4.6m","Business Products & Services","Texas","Dallas",,32,
"American Passport & Visa International","934%","$3m","Travel & Hospitality","District of Columbia","Washington DC",,12,
"9Round","933%","$7.8m","Health","South Carolina","Greenville-Anderson-Mauldin SC",,13,
"Nutrislice","928%","$2.6m","Food & Beverage","Colorado","Denver",,23,
"Regulated Capital Consultants","928%","$9.9m","Business Products & Services","Georgia","Atlanta",,26,
"Gamma Labs","926%","$7.9m","Health","New York","New York City",,20,
"JEAR Logistics","925%","$42.8m","Logistics & Transportation","South Carolina","Charleston-North Charleston SC",,64,
"Harmony Healthcare","922%","$40.1m","Health","Florida","Tampa",,580,
"Strategic Financial Solutions","919%","$37.6m","Financial Services","New York","New York City",,250,
"Pipe View America","917%","$2.9m","Construction","Illinois","Chicago",,21,
"Edward Marc Brands","914%","$24.4m","Food & Beverage","Pennsylvania","Pittsburgh PA",,84,
"NextAfter","914%","$2.5m","Advertising & Marketing","Texas","Dallas",,6,
"ConvertMedia","909%","$18.8m","Advertising & Marketing","New York","New York City",,60,
"GQR Global Markets","906%","$7.5m","Human Resources","New York","New York City",,65,
"Boyce Technologies","905%","$29m","Manufacturing","New York","New York City",,65,
"AASKI Technology","894%","$289.2m","Engineering","New Jersey","New York City",,475,
"The FDA Group","893%","$5m","Health","Massachusetts","Worcester MA-CT",,4,
"Discover Video","893%","$2.9m","Media","Connecticut","New Haven-Milford CT",,12,
"Kepler Group","889%","$10.6m","Advertising & Marketing","New York","New York City",,75,
"1on1 Development","886%","$2.6m","Software","New Jersey","New York City",,36,
"King Memory","886%","$8.4m","Computer Hardware","Ohio","Columbus OH",,51,
"Annmarie Skin Care","883%","$6.3m","Consumer Products & Services","California","San Francisco",,17,
"Prolific Interactive","882%","$10.1m","Advertising & Marketing","New York","New York City",,100,
"Digital Media Solutions","881%","$54.1m","Media","Florida","Tampa",,80,
"Centerspan","880%","$6.7m","Health","New York","New York City",,26,
"Neighbors Health ","877%","$250.7m","Health","Texas","Houston",,566,
"SD Bullion","876%","$59.6m","Financial Services","Michigan","Adrian MI",,13,
"LiveHelpNow","873%","$2.4m","Software","Pennsylvania","Allentown-Bethlehem-Easton PA-NJ",,8,
"Phoenix Loans","873%","$44.6m","Real Estate","Arizona","Phoenix",,12,
"NextNet Partners","869%","$21.6m","IT Services","Arizona","Phoenix",,22,
"Livionex","868%","$2.9m","Health","California","San Jose",,6,
"Be The Change Revolutions","868%","$2.5m","Advertising & Marketing","District of Columbia","Washington DC",,29,
"Signature Analytics","866%","$4m","Financial Services","California","San Diego",,49,
"Renogy","864%","$18.9m","Consumer Products & Services","California","Riverside-San Bernardino-Ontario CA",,34,
"OppLoans","854%","$8.5m","Financial Services","Illinois","Chicago",,35,
"Rant","854%","$13.7m","Media","California","Los Angeles",,25,
"Creative Studio Promotions","853%","$2m","Advertising & Marketing","Michigan","Grand Rapids-Wyoming MI",,11,
"SoBe Promos","852%","$2.1m","Advertising & Marketing","Florida","Miami",,13,
"Team Forss Realty Group","850%","$3.5m","Real Estate","California","San Diego",,23,
"Revere Capital","849%","$22.6m","Financial Services","Texas","Dallas",,18,
"Sequoia Holdings","847%","$5.6m","Government Services","Virginia","Washington DC",,28,
"E2 Optics","847%","$50.4m","Telecommunications","Colorado","Denver",,227,
"GoPole","847%","$9.3m","Consumer Products & Services","New Jersey","New York City",,3,
"Janz","846%","$5.8m","Government Services","Ohio","Columbus OH",,9,
"MES","846%","$60.6m","Logistics & Transportation","Ohio","Columbus OH",,82,
"FreeForm Agency","845%","$2m","Advertising & Marketing","Oklahoma","Tulsa OK",,15,
"JCS Consulting Group","838%","$3m","IT Services","California","San Diego",,10,
"Flexfire LEDs","832%","$2.3m","Manufacturing","California","Los Angeles",,24,
"Omnibuild","832%","$171.6m","Construction","New York","New York City",,111,
"CULVER EQUIPMENT","829%","$10m","Business Products & Services","Arizona","Phoenix",,36,
"Nolan Transportation Group","824%","$196.3m","Logistics & Transportation","Georgia","Atlanta",,135,
"The Hilb Group","820%","$36.8m","Insurance","Virginia","Richmond VA",,367,
"Altalena","819%","$2.7m","Food & Beverage","California","Los Angeles",,7,
"Multifamily Utility Company","818%","$11.8m","Real Estate","California","San Diego",,45,
"Ultimate Jet Vacations","818%","$17.9m","Travel & Hospitality","Florida","Miami",,16,
"National Merchants Association","816%","$19.2m","Financial Services","California","Riverside-San Bernardino-Ontario CA",,68,
"Moore Heating & Air Conditioning","815%","$9.2m","Construction","California","Santa Rosa CA",,54,
"Stay Alfred Vacation Rentals","814%","$13m","Travel & Hospitality","Washington","Spokane-Spokane Valley WA",,59,
"Redwood Scientific Technologies","814%","$5.1m","Health","California","Los Angeles",,32,
"Totally Joined For Achieving Collaborative Techniques","810%","$4.1m","Government Services","Georgia","Atlanta",,90,
"Sol Systems","806%","$57.5m","Financial Services","District of Columbia","Washington DC",,49,
"WeGoLook","806%","$2.9m","Business Products & Services","Oklahoma","Oklahoma City OK",,54,
"Stardust Memorials","806%","$2.8m","Retail","Michigan","Traverse City MI",,15,
"Owl Computing","805%","$2.3m","IT Services","Michigan","Grand Rapids-Wyoming MI",,12,
"Pluralsight","800%","$108.4m","Education","Utah","Ogden-Clearfield UT",,531,
"VETS etc.","799%","$34.1m","IT Services","California","Salinas CA",,124,
"SeKON Enterprise","798%","$23.9m","Government Services","Virginia","Washington DC",,80,
"Pivot International","798%","$43m","Engineering","Kansas","Kansas City MO-KS",,116,
"Cynet Systems","797%","$31.4m","IT Services","Virginia","Washington DC",,565,
"Wholesale Screening Solutions","795%","$32.4m","Business Products & Services","Virginia","Washington DC",,281,
"Jeunesse Global","791%","$1b","Consumer Products & Services","Florida","Orlando FL",,900,
"Aduro","790%","$16.2m","Health","Washington","Seattle",,89,
"Outdoor Tech","785%","$10.8m","Consumer Products & Services","California","Los Angeles",,23,
"Pay Sell Co.","783%","$9.8m","Software","Florida","Pensacola-Ferry Pass-Brent FL",,6,
"HG Data Company","779%","$5m","Software","California","Santa Maria-Santa Barbara CA",,44,
"Metronome","779%","$9.8m","Government Services","Virginia","Washington DC",,140,
"American Retirement Advisors","779%","$39.6m","Financial Services","Arizona","Phoenix",,15,
"SOR Technology","778%","$32.9m","Travel & Hospitality","California","San Diego",,77,
"Sunny Days In-Home Care","776%","$5.1m","Health","Pennsylvania","Pittsburgh PA",,250,
"LiveIntent","776%","$60.7m","Advertising & Marketing","New York","New York City",,220,
"Optimum Healthcare IT","774%","$99.3m","Health","Florida","Jacksonville FL",,550,
"Lynx Technology Partners","773%","$11.9m","Security","New York","New York City",,80,
"Pneuron","772%","$3.4m","Software","New York","New York City",,20,
"Advantages","771%","$5.3m","Advertising & Marketing","New York","New York City",,7,
"ISSQUARED","771%","$4.9m","IT Services","California","Oxnard-Thousand Oaks-Ventura CA",,58,
"MaxHome","771%","$16m","Construction","Louisiana","New Orleans-Metairie LA",,99,
"S2 IT Group","770%","$3.7m","IT Services","Georgia","Atlanta",,54,
"Cabinets.com","768%","$13.9m","Retail","Florida","Tampa",,18,
"Leota","758%","$4.3m","Retail","New York","New York City",,18,
"Vixxo","758%","$693.6m","Business Products & Services","Arizona","Phoenix",,934,
"Akorbi","758%","$23.3m","Business Products & Services","Texas","Dallas",,750,
"Fizziology","756%","$2.7m","Advertising & Marketing","Indiana","Indianapolis IN",,17,
"RealEstateInvestor.com","752%","$2.1m","Real Estate","California","San Francisco",,30,
"ContextMedia","751%","$62m","Health","Illinois","Chicago",,256,
"Showroom Logic","750%","$33.8m","Advertising & Marketing","Florida","Miami",,118,
"Wondersauce","749%","$9.2m","Advertising & Marketing","New York","New York City",,68,
"33 Realty","749%","$11.8m","Real Estate","Illinois","Chicago",,19,
"Contently","749%","$14.8m","Advertising & Marketing","New York","New York City",,104,
"Monte Sano Research","749%","$7.4m","Government Services","Alabama","Huntsville AL",,55,
"Yeti Coolers","748%","$468.9m","Consumer Products & Services","Texas","Austin",,312,
"Wicked Good Cupcakes","748%","$3.3m","Food & Beverage","Massachusetts","Boston",,20,
"CynergisTek","746%","$22.3m","Security","Texas","Austin",,45,
"Legion Logistics","744%","$25.4m","Logistics & Transportation","Kentucky","Cincinnati",,55,
"Pleasant View Property Services","743%","$4.1m","Construction","District of Columbia","Washington DC",,20,
"Side By Side Stuff","742%","$10.1m","Retail","Missouri","Kansas City MO-KS",,16,
"ipDatatel","742%","$13m","Security","Texas","Houston",,35,
"TeamBuilder Search","742%","$2.8m","Human Resources","Ohio","Columbus OH",,21,
"TUNE","741%","$60.4m","Advertising & Marketing","Washington","Seattle",,250,
"Hangar202","737%","$2.5m","Financial Services","California","Los Angeles",,6,
"Twilio","736%","$166.9m","Telecommunications","California","San Francisco",,567,
"Trapp Technology","734%","$6.9m","IT Services","Arizona","Phoenix",,60,
"Tahzoo","733%","$39.3m","Business Products & Services","District of Columbia","Washington DC",,300,
"Semihandmade","732%","$3.8m","Consumer Products & Services","California","Los Angeles",,38,
"EAU DE LUXE","732%","$7.8m","Retail","New York","New York City",,9,
"Home Run Media","731%","$40.1m","Advertising & Marketing","Illinois","Chicago",,18,
"Redhorse","731%","$39.4m","Engineering","California","San Diego",,270,
"White Shark Media","730%","$7.3m","Advertising & Marketing","Florida","Miami",,170,
"Goldco Precious Metals","729%","$50.5m","Financial Services","California","Los Angeles",,60,
"MarketBeat","729%","$2.7m","Media","South Dakota","Sioux Falls SD",,3,
"Facility Solutions","728%","$6.5m","Construction","South Carolina","Spartanburg SC",,25,
"MSB Analytics","726%","$6.3m","Government Services","Alabama","Huntsville AL",,58,
"Beneficial Blends","725%","$5.3m","Food & Beverage","Florida","Tampa",,20,
"BarnAllen Technologies","723%","$11.7m","IT Services","Maryland","Washington DC",,167,
"Montway Auto Transport","722%","$25.1m","Logistics & Transportation","Illinois","Chicago",,96,
"Sovereign Health Group","721%","$74.6m","Health","California","Los Angeles",,1118,
"SolTerra","721%","$30.5m","Real Estate","Washington","Seattle",,110,
"DoubleDutch","721%","$12.7m","Software","California","San Francisco",,242,
"Pierry Software","716%","$7.8m","Advertising & Marketing","California","San Francisco",,50,
"Blue Moon Estate Sales USA","716%","$2.5m","Real Estate","North Carolina","Raleigh NC",,120,
"NVision IT","715%","$6.1m","IT Services","Missouri","St. Louis MO-IL",,28,
"Product Cloud","715%","$10m","Retail","Wisconsin","Milwaukee-Waukesha-West Allis WI",,12,
"Hospitology Products","715%","$11.2m","Consumer Products & Services","Illinois","Chicago",,3,
"USA Staffing Services","715%","$5.8m","Business Products & Services","Florida","Tampa",,105,
"LUMINOS LABS","713%","$3.8m","IT Services","California","Los Angeles",,8,
"FranchiseHelp","712%","$4.3m","Business Products & Services","New York","New York City",,9,
"Pillar Properties","710%","$30.3m","Real Estate","Washington","Seattle",,61,
"Truelogic Software","709%","$2.7m","Software","Florida","Miami",,57,
"Saxony Partners","708%","$8.4m","IT Services","Texas","Dallas",,46,
"Bear Down Consulting","706%","$16.9m","Retail","California","Los Angeles",,2,
"Penrod","704%","$2.4m","Software","Wisconsin","Milwaukee-Waukesha-West Allis WI",,25,
"Sports 1 Marketing","704%","$5.3m","Advertising & Marketing","California","Los Angeles",,50,
"Valiant Solutions","704%","$11m","Government Services","District of Columbia","Washington DC",,84,
"TripShock","703%","$2.9m","Travel & Hospitality","Florida","Crestview-Fort Walton Beach-Destin FL",,12,
"Fynbosys","701%","$4m","IT Services","California","Sacramento CA",,30,
"Motivational Press","701%","$2.7m","Media","California","San Diego",,27,
"Surge","701%","$22.2m","IT Services","Washington","Seattle",,150,
"OnSite Media Solutions","701%","$9m","Business Products & Services","Utah","Summit Park UT",,12,
"NinthDecimal","700%","$40.3m","Advertising & Marketing","California","San Francisco",,90,
"Fitness On Demand","700%","$3.3m","Health","Minnesota","Minneapolis",,19,
"Veterinary Practice Partners","700%","$23.9m","Health","Pennsylvania","Philadelphia",,271,
"Alpha Paving Industries","700%","$13m","Construction","Texas","Austin",,45,
"Burgos Group","699%","$11.9m","Government Services","New Mexico","Albuquerque NM",,88,
"ORS Partners","699%","$5.6m","Human Resources","Pennsylvania","Philadelphia",,62,
"AcademicWorks","697%","$5.1m","Education","Texas","Austin",,40,
"Weisser Distributing","696%","$23.2m","Retail","South Dakota","Sioux Falls SD",,65,
"AdTheorent","695%","$42m","Advertising & Marketing","New York","New York City",,116,
"Inent","694%","$2.3m","IT Services","California","Riverside-San Bernardino-Ontario CA",,45,
"Muscle Up Marketing","691%","$7.5m","Advertising & Marketing","Georgia","Atlanta",,10,
"edo Interactive","688%","$18.1m","Financial Services","Illinois","Chicago",,82,
"AllScreen","686%","$15.2m","Advertising & Marketing","California","Los Angeles",,20,
"Updox","686%","$5.2m","Software","Ohio","Columbus OH",,45,
"FLS Energy","685%","$355.9m","Energy","North Carolina","Asheville NC",,69,
"Heritage Group","683%","$2.6m","Environmental Services","Iowa","Des Moines-West Des Moines IA",,97,
"Integral Ad Science","678%","$93.2m","Advertising & Marketing","New York","New York City",,305,
"Case Snow Management","678%","$28.8m","Business Products & Services","Massachusetts","Providence-Warwick RI-MA",,166,
"BuyerQuest","677%","$6.5m","Software","Ohio","Cleveland",,68,
"Sports Marketing Monterrey","677%","$2.6m","Advertising & Marketing","Texas","Dallas",,6,
"TruEnergy","676%","$5.7m","Energy","Texas","Dallas",,85,
"RM Advisory Services","673%","$4.7m","Government Services","Virginia","Washington DC",,28,
"Incedo","671%","$27.5m","IT Services","California","San Jose",,1500,
"Direct Radiology","666%","$9.5m","Health","Idaho","Coeur d'Alene ID",,32,
"CloudLock","665%","$13.2m","Security","Massachusetts","Boston",,152,
"Strategic Management Decisions","664%","$2.8m","Human Resources","North Carolina","Charlotte",,8,
"Imprenta Communications Group","663%","$19.3m","Advertising & Marketing","California","Los Angeles",,20,
"Sterling Staffing Solutions","663%","$2.9m","Health","Texas","Houston",,350,
"CTEMS","662%","$9.2m","Manufacturing","California","San Francisco",,84,
"Walsingham Group","661%","$5.8m","Government Services","North Carolina","Fayetteville NC",,132,
"ShipOffers","661%","$8.1m","Health","Colorado","Denver",,17,
"CB Insights","661%","$6.7m","Software","New York","New York City",,65,
"Sigora Solar","661%","$5m","Energy","Virginia","Staunton-Waynesboro VA",,40,
"GetVoIP","661%","$2.2m","IT Services","New York","New York City",,11,
